127.0.0.1 - - [04/Jul/2018:12:53:46 +0530] "GET / HTTP/1.1" 404 994
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:58:50 +0530] "GET /skillassessment/hrapprovalpage.jsp? HTTP/1.1" 500 4129
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:58:55 +0530] "GET /skillassessment/home.jsp HTTP/1.1" 200 10902
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:58:57 +0530] "GET /skillassessment/hrlogin.jsp HTTP/1.1" 200 9483
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:58:59 +0530] "GET /skillassessment/hremployeedetailspage.jsp? HTTP/1.1" 200 8798
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:59:56 +0530] "GET /skillassessment/hremployeedetailspage.jsp? HTTP/1.1" 200 8739
0:0:0:0:0:0:0:1 - - [04/Jul/2018:12:59:59 +0530] "GET /skillassessment/skillsetapplyperson.jsp? HTTP/1.1" 200 8794
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:01:00 +0530] "GET /skillassessment/hrapprovalpage.jsp? HTTP/1.1" 200 9298
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:02:25 +0530] "GET /skillassessment/hrapprovalpage.jsp? HTTP/1.1" 200 9303
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:02:27 +0530] "GET /skillassessment/skillsetapplyperson.jsp?status=Waiting HTTP/1.1" 200 8794
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:02:31 +0530] "GET /skillassessment/skillsetapplyperson.jsp?status=Waiting HTTP/1.1" 200 8794
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:05:05 +0530] "GET /skillassessment/hrapprovalpage.jsp? HTTP/1.1" 200 9303
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:05:08 +0530] "GET /skillassessment/skillsetapplyperson.jsp?status=Waiting HTTP/1.1" 200 8794
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:06:52 +0530] "GET /skillassessment/hrapprovalpage.jsp? HTTP/1.1" 200 9296
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:06:54 +0530] "GET /skillassessment/employeepage.jsp?status=Waiting HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:07:27 +0530] "GET /skillassessment/hrlogin.jsp HTTP/1.1" 200 9483
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:07:28 +0530] "GET /skillassessment/hrhomepage.jsp?usr=&pwd= HTTP/1.1" 200 8970
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:07:30 +0530] "GET /skillassessment/skillsetapplyperson.jsp? HTTP/1.1" 200 8794
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:07:31 +0530] "GET /skillassessment/hrapprovalpage.jsp? HTTP/1.1" 200 9296
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:08:00 +0530] "GET /skillassessment/hrapprovalpage.jsp? HTTP/1.1" 200 9298
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:08:02 +0530] "GET /skillassessment/employeeupdate.jsp?status=Waiting HTTP/1.1" 200 10844
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:08:25 +0530] "GET /skillassessment/employeeupdate.jsp?status=Waiting HTTP/1.1" 200 10564
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:08:27 +0530] "GET /skillassessment/hrlogin.jsp HTTP/1.1" 200 9483
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:09:53 +0530] "GET /skillassessment/hrhomepage.jsp?usr=&pwd= HTTP/1.1" 200 8970
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:09:54 +0530] "GET /skillassessment/skillsetapplyperson.jsp? HTTP/1.1" 200 8794
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:09:57 +0530] "GET /skillassessment/employeepage.jsp HTTP/1.1" 200 8964
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:09:58 +0530] "GET /skillassessment/employeelogin.jsp? HTTP/1.1" 200 9500
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:09:59 +0530] "GET /skillassessment/emppage.jsp?usrname=&pass= HTTP/1.1" 200 9410
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:09:59 +0530] "GET /skillassessment/empprofile.jsp? HTTP/1.1" 500 3882
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:10:28 +0530] "GET /skillassessment/empprofile.jsp? HTTP/1.1" 200 8981
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:10:30 +0530] "GET /skillassessment/employeeupdate.jsp? HTTP/1.1" 200 10564
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:10:32 +0530] "GET /skillassessment/hrlogin.jsp HTTP/1.1" 200 9483
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:12:04 +0530] "GET /skillassessment/hrlogin.jsp HTTP/1.1" 200 9483
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:12:05 +0530] "GET /skillassessment/hrlogin.jsp HTTP/1.1" 200 9483
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:12:07 +0530] "GET /skillassessment/hrhomepage.jsp?usr=&pwd= HTTP/1.1" 200 8970
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:12:08 +0530] "GET /skillassessment/hremployeedetailspage.jsp? HTTP/1.1" 200 8739
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:12:10 +0530] "GET /skillassessment/skillsetapplyperson.jsp? HTTP/1.1" 200 8815
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:12:11 +0530] "GET /skillassessment/hrapprovalpage.jsp?person= HTTP/1.1" 200 9298
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:12:13 +0530] "GET /skillassessment/employeeupdate.jsp?status=Waiting HTTP/1.1" 200 10564
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:12:19 +0530] "GET /skillassessment/employeeupdate.jsp?usr=&pwd=&email=&gender=Male&dob=&phno= HTTP/1.1" 200 10564
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:12:21 +0530] "GET /skillassessment/hrlogin.jsp HTTP/1.1" 200 9483
0:0:0:0:0:0:0:1 - - [04/Jul/2018:13:12:22 +0530] "GET /skillassessment/employeepage.jsp HTTP/1.1" 200 8964
